Cím,Épület/szárny,Szint,Helyiség száma,Helyiség neve,"Berendezés v. szolgáltatás
","Berendezés gyártó
","Berendezés tipusa
","Gyári szám/Egyéb berendezés adat
",Berendezés kód,Tender besorolás,Karb.alk./év
"Budapest, Naphegy tér 1.",A1115,földszint,Titkárság 1,Titkárság 1,FAN_COIL,,,,155AP00104002,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Titkárság 1,Titkárság 1,FAN_COIL,,,,155AP00000107001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,155AP00104003,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,155A010130101001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,155A010090101001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,155A010100101001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,155A010110101001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,155A010120101001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,155AF00010101001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,155AF00010101002,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,155AF00020101001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,155AF00100104001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,155AT00105001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,155AT00105002,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,09A000000102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,09A000000102002,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,09A000000102003,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,09A000000102004,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,09A000010102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,09A000010102002,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,09A000020102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,09A000030102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,09A000040102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,09A000040102002,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,09A000100102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,09A000120102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,09A000160102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,09A011010102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,09A011010102002,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN_COIL,,,,09A011030102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,pince,,gépház,LIQUID_CHILLER,ciat,LD 180V,,09A011050102001,LIQUID_CHILLER_100_TO_500_KW,2
"Budapest, Naphegy tér 1.",A1115,pince,,gépház,LIQUID_CHILLER,ciat,LD 180V,,09A011060102001,LIQUID_CHILLER_100_TO_500_KW,2
"Budapest, Naphegy tér 1.",A1115,pince,,gépház,LIQUID_CHILLER,ciat,LD 180V,,09A011080102001,LIQUID_CHILLER_100_TO_500_KW,2
"Budapest, Naphegy tér 1.",A1115,pince,,gépház,LIQUID_CHILLER,ciat,LD 180V,,09A011090102001,LIQUID_CHILLER_100_TO_500_KW,2
"Budapest, Naphegy tér 1.",A1115,pince,,,CONDENSER,,,,09A011100102001,CONDENSER_ABOVE_80_KW,2
"Budapest, Naphegy tér 1.",A1115,pince,,,CONDENSER,,,,09A011110102001,CONDENSER_ABOVE_80_KW,2
"Budapest, Naphegy tér 1.",A1115,pince,,,CONDENSER,,,,09A011120102001,CONDENSER_ABOVE_80_KW,2
"Budapest, Naphegy tér 1.",A1115,pince,,,CONDENSER,,,,09A011130102001,CONDENSER_ABOVE_80_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,Szerver helyiség,szerver helyiség,SPLIT_UNIT,Daikin,,,09A011140102001,SPLIT_DUAL_MULTI_AC_5_TO_10_KW,4
"Budapest, Naphegy tér 1.",A1115,1. emelet,Szerver helyiség,szerver helyiség,SPLIT_UNIT,Daikin,,,09A011150102001,SPLIT_DUAL_MULTI_AC_5_TO_10_KW,4
"Budapest, Naphegy tér 1.",A1115,1. emelet,Szerver helyiség,szerver helyiség,SPLIT_UNIT,Daikin,,,09A011160102001,SPLIT_DUAL_MULTI_AC_5_TO_10_KW,4
"Budapest, Naphegy tér 1.",A1115,1. emelet,Szerver helyiség,szerver helyiség,SPLIT_UNIT,Daikin,,,09A011170102001,SPLIT_DUAL_MULTI_AC_5_TO_10_KW,4
"Budapest, Naphegy tér 1.",A1115,1. emelet,104,Titkárság,SPLIT_UNIT,Daikin,,,09A011180102001,SPLIT_DUAL_MULTI_AC_UP_TO_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,104,Titkárság,SPLIT_UNIT,Daikin,,,09A011190102001,SPLIT_DUAL_MULTI_AC_UP_TO_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,105,Személyi titkárság,SPLIT_UNIT,Daikin,,,09A011200102001,SPLIT_DUAL_MULTI_AC_UP_TO_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,105,Személyi titkárság,SPLIT_UNIT,Daikin,,,09A011210102001,SPLIT_DUAL_MULTI_AC_UP_TO_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,111,Titkársági vezető,SPLIT_UNIT,Daikin,,,09A022010102001,SPLIT_DUAL_MULTI_AC_UP_TO_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,111,Titkársági vezető,SPLIT_UNIT,Daikin,,,09A022010102002,SPLIT_DUAL_MULTI_AC_UP_TO_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,103,Vezetői iroda 1,SPLIT_UNIT,Daikin,,,09A022020102001,SPLIT_DUAL_MULTI_AC_UP_TO_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,103,Vezetői iroda 1,SPLIT_UNIT,Daikin,,,09A022030102001,SPLIT_DUAL_MULTI_AC_UP_TO_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Nagyterem,Nagyterem,SPLIT_UNIT,Daikin,,,09A022040102001,SPLIT_DUAL_MULTI_AC_UP_TO_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Nagyterem,Nagyterem,SPLIT_UNIT,Daikin,,,09A022050102001,SPLIT_DUAL_MULTI_AC_UP_TO_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Nagyterem,Nagyterem,SPLIT_UNIT,Daikin,,,09A022050115002,SPLIT_DUAL_MULTI_AC_UP_TO_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Nagyterem,Nagyterem,SPLIT_UNIT,Daikin,,,09A022060102001,SPLIT_DUAL_MULTI_AC_UP_TO_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Titkárság 2,Titkárság 2,SPLIT_UNIT,Daikin,,,09A022070102001,SPLIT_DUAL_MULTI_AC_UP_TO_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Titkárság 2,Titkárság 2,SPLIT_UNIT,Daikin,,,09A022080102001,SPLIT_DUAL_MULTI_AC_UP_TO_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Nagyterem keresztirányú,Nagyterem keresztirányú,AIR_HANDLING_UNIT,,fűtőbetéttel,,09A022090102001,AIR_HANDLING_UNIT_3000_TO_5000_M3_H,4
"Budapest, Naphegy tér 1.",A1115,földszint,Nagyterem keresztirányú,Nagyterem keresztirányú,AIR_HANDLING_UNIT,,fűtőbetéttel,,09A022100102001,AIR_HANDLING_UNIT_3000_TO_5000_M3_H,4
"Budapest, Naphegy tér 1.",A1115,földszint,Nagyterem keresztirányú,Nagyterem keresztirányú,AIR_HANDLING_UNIT,,fűtőbetéttel,,09A022110102001,AIR_HANDLING_UNIT_3000_TO_5000_M3_H,4
"Budapest, Naphegy tér 1.",A1115,földszint,Nagyterem keresztirányú,Nagyterem keresztirányú,AIR_HANDLING_UNIT,,fűtőbetéttel,,09A022120102001,AIR_HANDLING_UNIT_3000_TO_5000_M3_H,4
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN,,,,09A022120102002,AXIAL_FAN_3000_TO_5000_M3_H,4
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN,,,,09A022130102001,AXIAL_FAN_3000_TO_5000_M3_H,4
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN,,,,09A022140102001,AXIAL_FAN_3000_TO_5000_M3_H,4
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN,,,,09A022150102001,AXIAL_FAN_3000_TO_5000_M3_H,4
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN,,,,09A022160102001,AXIAL_FAN_3000_TO_5000_M3_H,4
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN,,,,09A022170102001,AXIAL_FAN_3000_TO_5000_M3_H,4
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN,,,,09A022180102001,AXIAL_FAN_3000_TO_5000_M3_H,4
"Budapest, Naphegy tér 1.",A1115,Tetőtér,,,FAN,,,,09A022190115002,AXIAL_FAN_3000_TO_5000_M3_H,4
"Budapest, Vám u. 5-7.",A0066,8. emelet,811,iroda,WINDOW_AIR_CONDITIONER,Fujitsu,,,35A044240102002,WINDOW_AIR_CONDITIONER_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,8. emelet,811,iroda,WINDOW_AIR_CONDITIONER,Fujitsu,,,35A044250102001,WINDOW_AIR_CONDITIONER_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,8. emelet,812,iroda,WINDOW_AIR_CONDITIONER,Fujitsu,,,35A044260102001,WINDOW_AIR_CONDITIONER_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,8. emelet,812,iroda,WINDOW_AIR_CONDITIONER,Fujitsu,,,35A044270102001,WINDOW_AIR_CONDITIONER_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,8. emelet,813,iroda,WINDOW_AIR_CONDITIONER,Fujitsu,,,35A04T030102001,WINDOW_AIR_CONDITIONER_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,8. emelet,813,iroda,WINDOW_AIR_CONDITIONER,Fujitsu,,,35A04T030102002,WINDOW_AIR_CONDITIONER_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,8. emelet,814,iroda,WINDOW_AIR_CONDITIONER,Fujitsu,,,35A04T030102003,WINDOW_AIR_CONDITIONER_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,8. emelet,814,iroda,WINDOW_AIR_CONDITIONER,Fujitsu,,,35A04T040102001,WINDOW_AIR_CONDITIONER_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,földszint,006,iroda,WINDOW_AIR_CONDITIONER,Fujitsu,,,35A04T040102002,WINDOW_AIR_CONDITIONER_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,földszint,006,iroda,WINDOW_AIR_CONDITIONER,Fujitsu,,,35A04T050102001,WINDOW_AIR_CONDITIONER_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,földszint,017,iroda,WINDOW_AIR_CONDITIONER,Fujitsu,,,35A04T060102001,WINDOW_AIR_CONDITIONER_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,földszint,017,iroda,WINDOW_AIR_CONDITIONER,Fujitsu,,,35A04T060102002,WINDOW_AIR_CONDITIONER_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,földszint,017,iroda,WINDOW_AIR_CONDITIONER,Fujitsu,,,35A04T110102001,WINDOW_AIR_CONDITIONER_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,földszint,017,iroda,WINDOW_AIR_CONDITIONER,Fujitsu,,,35A04T110102002,WINDOW_AIR_CONDITIONER_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,7. emelet,707.,iroda,WINDOW_AIR_CONDITIONER,Gree,,GJC09AF,35A04T110102003,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,7. emelet,707.,iroda,WINDOW_AIR_CONDITIONER,Gree,,GJC09AF,35A04T300102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,8. emelet,828,iroda,WINDOW_AIR_CONDITIONER,Fujitsu,,,35A04T310102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,8. emelet,828,iroda,WINDOW_AIR_CONDITIONER,Fujitsu,,,35A04T310102002,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A04T320102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A04T320102002,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A04T470102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A04T480102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A04T490102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A04T510102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A04T550102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A04T560102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A04T590102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A04T600102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A04T900102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A04T900102002,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A055080102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A055090102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A055100102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A055100102002,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A055110102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A055120102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A055130102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A055130102002,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A055140102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A055150102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A055150102002,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A055160102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A055170102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A055180102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A055180102002,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,7.emelet,iroda,FAN_COIL,n.a,,,35A055180102003,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,8. emelet,iroda,FAN_COIL,n.a,,,35A055190102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,8. emelet,iroda,FAN_COIL,n.a,,,35A055200102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,8. emelet,iroda,FAN_COIL,n.a,,,35A055210102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,8. emelet,iroda,FAN_COIL,n.a,,,35A055210102002,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,8. emelet,iroda,FAN_COIL,n.a,,,35A055220102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,8. emelet,iroda,FAN_COIL,n.a,,,35A055220102002,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,8. emelet,iroda,FAN_COIL,n.a,,,35A055230102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,8. emelet,iroda,FAN_COIL,n.a,,,35A055240102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,8. emelet,iroda,FAN_COIL,n.a,,,35A055250102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,8. emelet,iroda,FAN_COIL,n.a,,,35A055260102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,8. emelet,iroda,FAN_COIL,n.a,,,35A055270102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,8. emelet,iroda,FAN_COIL,n.a,,,35A055280107001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,8. emelet,iroda,FAN_COIL,n.a,,,35A066000102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,8. emelet,iroda,FAN_COIL,n.a,,,35A066000102002,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Vám u. 5-7.",A0066,iroda,8. emelet,iroda,FAN_COIL,n.a,,,35A066000102003,INDOOR_UNIT_UP_TO_2_5_KW,2
